"id";"jobs";"firms";"salary";"nums"
314;"Docker工程师";"西安中服软件有限公司";"1-1.5万/月";"20"
315;"Sr. Security Engineer / 高级网络安全工程师";"西安活跃网络有限公司";"2.5-3万/月";"23"
316;"算法工程师（深度学习）（西安）";"聚龙股份有限公司";"1.5-2万/月";"56"
317;"技术构架师   兼项目经理";"旅拍通科技有限公司";"0.8-1万/月";"15"
318;"大数据开发工程师";"万达信息股份有限公司";"1.5-2万/月";"41"
319;"软件测试工程师";"西安三星电子研究有限公司";"0.8-1.5万/月";"427"
320;"测试经理";"美格智能西安研究所";"0.8-1万/月";"83"
321;"教师（计算机方向）";"西安欧亚学院";"6-8千/月";"40"
322;"高级测试工程师";"西安北科维拓科技有限公司";"0.8-1万/月";"166"
323;"技术支持工程师（19届校招）";"西安新路网络科技有限公司";"5-8千/月";"29"
324;"产品发布工程师";"泰为信息科技（上海）有限公司";"1.5-2万/月";"13"
325;"测试工程师";"中科金审（北京）科技有限公司";"0.8-1.3万/月";"206"
326;"IC验证工程师";"顺卓微电子（西安）有限公司";"1-1.5万/月";"30"
327;"AI高级工程师";"蜀海（北京）供应链管理有限责任公司";"1-2万/月";"27"
328;"数据库工程师";"南京烽火星空通信发展有限公司";"1-2万/月";"80"
329;"C++高级软件工程师";"江苏锐天信息科技有限公司西安分公司";"1.2-1.6万/月";"41"
330;"云平台开发工程师";"研华（中国）有限公司";"6-8千/月";"20"
331;"图像算法工程师";"西安大医集团有限公司";"0.8-1.5万/月";"52"
332;"大数据运维工程师";"珠海网博信息科技股份有限公司";"1.5-2万/月";"43"
333;"Web后端工程师";"深圳市中易腾达科技股份有限公司";"0.8-1万/月";"57"
334;"前端与移动开发   讲师(J11079)";"传智播客教育集团西安分校";"1.5-1.7万/月";"46"
335;"大数据开发工程师";"青海宝讯溯源网络科技有限公司西安分公司";"6-8千/月";"34"
336;"软件测试工程师（中级）";"西安图迹信息科技有限公司";"6-8千/月";"425"
337;"软件研发工程师（应届）";"紫光陕数大数据有限公司";"1-1.5万/月";"66"
338;"大数据开发工程师";"陕西万盛达信息科技有限公司";"0.8-1.5万/月";"73"
339;"系统测试工程师";"西安中科创星科技孵化器有限公司";"0.6-1万/月";"76"
340;"大数据开发工程师";"北京德天博诚科技有限公司";"1-2万/月";"22"
341;"linux C++高级开发工程师";"广州优孚欧智能科技有限公司";"0.6-1.2万/月";"33"
342;"软件测试工程师";"深圳普创天信科技发展有限公司";"0.5-1万/月";"424"
343;"数据开发工程师";"武汉金淳久久商贸有限公司";"3-4.5千/月";"20"
344;"数字IC后端设计工程师";"广州众诺电子技术有限公司";"1-2万/月";"16"
345;"数据工程师";"华扬联众数字技术股份有限公司";"1-2万/月";"45"
346;"高级测试工程师";"深圳光启空间技术有限公司";"1-1.5万/月";"154"
347;"数据工程师";"西安点告网络科技有限公司";"1.3-2.2万/月";"25"
348;"C/C++开发工程师";"西安栎安科技有限公司";"0.5-1.5万/月";"59"
349;"TPCE Test Engineer(ATE/BURN)";"美光半导体（西安）有限责任公司";" ";"22"
350;"大数据开发工程师";"陕西新华出版传媒集团数字出版基地发展有限公司";"0.6-1.2万/月";"43"
351;"软件配置管理(SCM)工程师";"北京讯通安添通讯科技有限公司西安分公司";"1-1.5万/月";"15"
352;"软件测试工程师";"甘肃上航电力运维有限公司";"6-8千/月";"431"
353;"手机自动化测试工程师";"宁波普天通信技术有限公司";"4-7千/月";"45"
354;"DevOps Engineer";"印孚瑟斯技术（中国）有限公司";"1-1.5万/月";"10"
355;"后台开发工程师";"爱讯达科技（深圳）有限公司";"0.6-1.2万/月";"11"
356;"全栈工程师";"北京时代一峰信息技术有限公司";"0.8-1.5万/月";"26"
357;"精密测量算法工程师";"西安知象光电科技有限公司";"1-1.5万/月";"28"
358;"ROS教育研发专员";"西安乐博士机器人有限公司";"4-6千/月";"25"
359;"网络安全培训讲师";"奇虎360科技有限公司";"1.5-2万/月";"63"
360;"外卖数据分析员";"陕西泰合信息科技有限公司";"3-4.5千/月";"21"
361;"web前端开发";"西安西品网络科技有限公司";"4.5-6千/月";"113"
362;"深度学习算法工程师";"西安中科光电精密工程有限公司";"15-20万/年";"74"
363;"网络产品测试工程师";"郑州信大捷安信息技术股份有限公司";"6-8千/月";"53"
364;"测试实习生（西安）(J10062)";"绿盟科技";"2-3千/月";"43"
365;"Senior software Engineer/高级软件工程师_DC";"博世力士乐（西安）电子传动与控制有限公司";" ";"36"
366;"全栈工程师";"三门峡崤云安全服务有限公司";"6-8千/月";"25"
367;"日志安全分析师";"三门峡崤云信息服务股份有限公司";"0.5-1万/月";"8"
368;"高级PHP软件开发工程师";"西安三态电子商务有限公司";"1.2-1.5万/月";"15"
369;"Linux C/C++ 高级软件工程师";"格尔软件股份有限公司";"1-1.5万/月";"75"
370;"全栈开发工程师";"西安思科特软件有限公司";"1-1.5万/月";"21"
371;"大数据JAVA开发工程师";"通联商务服务有限公司";"1-1.5万/月";"135"
372;"少儿编程老师";"西安童程童创教育科技有限公司";"0.6-1万/月";"25"
373;"Java开发工程师";"厦门唐普信息技术有限公司";"0.6-2.5万/月";"324"
374;"高级web后端工程师";"北京轩宇信息技术有限公司";"0.6-1.2万/月";"41"
375;"高级软件测试工程师";"北京盛恒鑫业能源科技有限公司";"0.6-1.5万/月";"118"
376;"Cloud NFVi Solution Architect  246455";"Ericsson (China) Communications Co.LTD 爱立信（中国）通信有限公司";" ";"22"
377;"销售分析支持经理";"中外运-敦豪(DHL-Sinotrans)";"1-1.5万/月";"56"
378;"Digital Technology Intern";"GE航空集团";" ";"27"
379;"大数据运维工程师";"新华三技术有限公司";"1-2万/月";"49"
380;"阿里云事业群-云业务架构师-西安区域";"阿里巴巴集团";" ";"49"
381;"软件测试工程师";"浙江大华技术股份有限公司";"10-20万/年";"358"
382;"自动化测试工程师（20名）";"三星数据系统（西安）有限公司";"6-9千/月";"220"
383;"软件测试工程师（超声）";"深圳市理邦精密仪器股份有限公司";"7.5-9千/月";"314"
384;"PostgreSQL DBA（五险一金+双休）";"深圳市坐标软件开发有限公司";"1-1.5万/月";"32"
385;"并行计算研发工程师";"英特工程仿真技术（大连）有限公司";"0.8-1.5万/月";"26"
386;"高级数据库工程师";"西安国际医学中心有限公司";"0.8-1.2万/月";"34"
387;"高级生物信息工程师（西安）";"上海源兹生物科技有限公司";"5-9千/月";"41"
388;"openstack开发运维工程师";"西安盈谷网络科技有限公司";"0.6-1.2万/月";"28"
389;"数据开发工程师";"西安亚购信息科技有限公司";"1-2万/月";"43"
390;"SLAM算法工程师";"广东星舆科技有限公司";"1.5-3万/月";"29"
391;"测试工程师";"北京天源迪科信息技术有限公司";"0.6-1万/月";"265"
392;"C++高级开发工程师";"中兴网鲲信息科技（上海）有限公司";"0.8-1.5万/月";"44"
393;"软件技术总监";"北京中科戎大科技股份有限公司";"1.5-2.5万/月";"21"
394;"大数据开发工程师";"山西科泰航天防务技术股份有限公司";"1-1.5万/月";"37"
395;"网络开发工程师";"瑞斯康达科技发展股份有限公司";"6-8千/月";"21"
396;"运维工程师";"广州亿程交通信息集团有限公司";"4-6千/月";"82"
397;"软件设计工程师";"西安智多晶微电子有限公司";"0.7-1.5万/月";"19"
398;"(ID67814)知名汽车公司急聘数据挖掘工程师";"上海任仕达人才服务有限公司";"0.8-1.1万/月";"23"
399;"数据开发工程师（SME）";"陕西西部资信股份有限公司";"1-1.5万/月";"46"
400;"00076-软件测试工程师";"上海京颐科技股份有限公司";"0.6-1万/月";"211"
401;"嵌入式中级开发工程师";"深圳市德卡科技股份有限公司";"6-8千/月";"27"
402;"Java开发工程师";"深圳市讯方技术股份有限公司";"0.7-1.5万/月";"262"
403;"大数据挖掘工程师(高薪+五险一金+双休)";"西安政通信息技术有限公司";"1.5-2万/月";"49"
404;"大数据平台运维工程师（Hadoop方向）";"上海罗盘信息科技有限公司";"1-1.5万/月";"56"
405;"自动化测试工程师";"西安恒谦教育科技股份有限公司";"4.5-6千/月";"46"
406;"Java高级开发工程师";"西安三茗科技股份有限公司";"1.2-1.8万/月";"139"
407;"系统测试工程师";"陕西美农网络科技有限公司";"6-8千/月";"60"
408;"自动化测试工程师";"上海数果科技有限公司";"0.6-1.2万/月";"121"
409;"（某500强知名企业）立体视觉算法工程师";"西安瀚特人力资源有限公司";"2-2.5万/月";"16"
410;"高级Java工程师-西安";"北京小鱼易连科技有限公司";"1-2万/月";"96"
411;"高级安卓(Android)开发工程师";"西安腾营信息科技有限公司";"0.9-1.2万/月";"41"
412;"识别算法工程师";"西安鼎力信息技术有限责任公司";"0.7-1.2万/月";"26"
413;"人工智能机器学习工程师";"西安橡树软件有限公司";"0.8-1万/月";"51"
414;"软件测试工程师（APP测试）";"陕西家护帮网络科技有限公司";"6-9千/月";"217"
415;"Web前端设计师";"陕西九鼎通信技术有限公司";"0.8-1万/月";"32"
416;"软件测试工程师";"酷渲（北京）科技有限公司";"0.8-1.5万/月";"462"
417;"数据分析师";"广州佰聆数据股份有限公司";"1-2万/月";"62"
418;"中高级Java开发工程师（西安）dqz";"北京思路创新科技有限公司";"0.8-1.5万/月";"161"
419;"中高级前端开发工程师";"翔傲信息科技（上海）有限公司";"0.8-1.2万/月";"38"
420;"运维工程师";"北京空间畅想信息技术有限责任公司";"0.8-1万/月";"85"
421;"机器视觉工程师";"陕西锦图企业管理咨询有限责任公司";"20-30万/年";"31"
422;"Linux研发工程师";"上海凯翔信息科技有限公司";"1-1.5万/月";"40"
423;"java/.net/web/大数据软件工程师";"陕西省商务技术学校";"15-20万/年";"182"
424;"高级自动化测试开发工程师（西安）";"深圳市有方科技股份有限公司";"1.5-2.5万/月";"153"
425;"高级嵌入式软件开发工程师";"西安翔迅科技有限责任公司";"1-1.5万/月";"42"
426;"数据建模师";"西安盈通思科软件科技有限公司";"1.5-2万/月";"39"
427;".NET开发工程师";"陕西晶胜广告文化传播有限公司";"3-8千/月";"20"
428;"运维工程师";"深圳汇思诺科技有限公司";"0.5-1万/月";"34"
429;"在线编程老师";"上海傲梦网络科技有限公司";"6-8千/月";"9"
430;"大数据架构师";"北京思特奇信息技术股份有限公司";"2-2.5万/月";"35"
431;"云方向业务部门_大数据高级工程师";"北京思特奇信息技术股份有限公司陕西分公司";"1-1.5万/月";"16"
432;"大数据开发工程师";"上海米赋网络科技有限公司";"0.6-1.2万/月";"37"
433;"WEB前端开发+双休+五险一金+应届生";"西安达文信息技术有限公司";"4-6千/月";"88"
434;"网络运维工程师";"信永中和会计师事务所";" ";"108"
435;"高级测试工程师";"北京军地联合信息技术研究发展中心（有限合伙）";"6-8千/月";"125"
436;"自动化测试工程师";"西安翼展电子科技有限公司";"0.6-1.2万/月";"69"
437;"IT运维工程师";"百胜餐饮（西安）有限公司";"6-8千/月";"149"
438;"深度学习工程师";"中国科学院自动化研究所（洛阳）机器人与智能装备创新研究院";"0.7-1.5万/月";"23"
439;"运营专家(J180807003)";"滴滴出行";"1.5-2万/月";"22"
440;"大数据开发工程师";"深圳市易流科技股份有限公司";"1.5-2.5万/月";"67"
441;"高级测试工程师";"裕日软件有限公司";"0.6-1.2万/月";"61"
442;"算法工程师";"西安浪盟网络科技有限公司";"0.6-1.2万/月";"40"
443;"初级软件工程师";"西安泛网信息技术有限公司";"6-8千/月";"60"
444;"RD-算法移植优化工程师";"TCL集团工业研究院";"0.8-1万/月";"28"
445;"研发总监";"西安启望计算机系统工程有限责任公司";"1-1.5万/月";"23"
446;"大数据开发工程师";"西安恪诚电子科技有限公司";"1-1.5万/月";"37"
447;"三维重建算法工程师-XA";"深圳奥比中光科技有限公司";"1.5-3万/月";"15"
448;"嵌入式软件工程师";"新港海岸（北京）科技有限公司";"0.8-2万/月";"83"
449;"系统运维工程师";"西安葡萄城信息技术有限公司";"0.7-1.2万/月";"103"
450;"大数据运维工程师";"西安华创人力资源管理咨询有限公司";"1.5-2.7万/月";"20"
451;"PHP开发工程师";"陕西无线星空教育科技有限公司";"3-5千/月";"39"
452;"数据分析工程师";"陕西君瀚信息技术有限公司";"6-8千/月";"64"
453;"Java开发工程师";"西安缤纷鸟少儿美术培训中心";"0.5-1万/月";"94"
454;"运维工程师";"陕旅集团骏途旅游网";"0.4-1万/月";"61"
455;"大数据开发工程师（西安）";"杭州数云信息技术有限公司";"1.5-2万/月";"25"
456;"Java高级开发工程师";"北京中软国际信息技术有限公司";"1-1.5万/月";"115"
457;"高级运维工程师";"北京北信源软件股份有限公司";"1-1.4万/月";"98"
458;"自然语言分析师";"西安极数宝数据服务有限公司";"1-1.5万/月";"12"
459;"前端开发工程师";"西安国匠艺海星河酒店管理有限公司";"0.8-1.5万/月";"52"
460;"Sr. C++  (Navigation, Map)";"西安泰为软件有限公司";"1-1.5万/月";"29"
461;"系统运维工程师";"西安维沃通信设备有限责任公司";"4.5-6千/月";"19"
462;"网络安全远程交付工程师";"南京华苏科技有限公司";"0.7-1.5万/月";"14"
463;"大数据开发工程师";"西安宏源视讯设备有限责任公司";"0.5-1万/月";"24"
464;"数据抓取工程师";"东华软件股份公司";"0.8-1.6万/月";"14"
465;"高级测试工程师";"陕西恒东网络科技有限责任公司";"4-8千/月";"75"
466;"首席软件质量工程师";"次元境界科技（北京）有限公司";"30-40万/年";"50"
467;"自动化测试工程师";"KaiOS凯系通讯科技";"0.8-1.2万/月";"126"
468;"嵌入式开发高级工程师";"西安思菲特信息科技有限公司";"0.8-1.2万/月";"33"
469;"高级C++/软件开发工程师";"陕西恒通智能机器有限公司";"1-2万/月";"45"
470;"测试工程师";"西安魔盾电气工程自动化研究所有限公司";"4-6.5千/月";"197"
471;"Java开发工程师";"西安数之元网络科技有限公司";"0.6-1.5万/月";"164"
472;"高级PHP开发工程师";"西安旭辉计算机软件开发有限责任公司";"0.8-1万/月";"39"
473;"招聘经理";"苏州浩辰软件股份有限公司西安分公司";"0.6-1.2万/月";"71"
